source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3326735608531961344,100.38170220108755,9.809111892381553,1.3678563148840879,0.021064613,-1.501633392898704,0.021468122,-3.670680834423532,0.019908514,0.94514227,14.251144,1.4494085,45.638157,11.125199,"VARIABLE",0,false,false,false,true,false,true,true,5304.2144,3.9263,-0.0983,760.9957,1.2274,0.9639,0.5181
3326735711610220928,100.42525116247818,9.79332556996378,1.917263389093255,0.021627596,-4.047450893338598,0.024639184,-7.057499630875115,0.020909643,1.0135782,9.623573,0.18006897,20.84775,0.6476035,"NOT_AVAILABLE",0,true,true,true,false,false,false,true,8310.373,3.834,-0.2576,540.7111,0.0729,0.0683,0.0363
3326736227006292480,100.41680884934294,9.84733128294244,1.30295833764416,0.021429535,3.007853550047707,0.01906624,-3.7827127145389468,0.01678498,0.9614876,14.007812,0.9298172,65.42475,7.02033,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5726.406,4.3016,-0.7425,735.5524,0.3446,0.2873,0.1561
3326736811121849216,100.37537743375076,9.830074111399085,1.4436208460400692,0.027300792,-1.3268235573116396,0.02894502,-3.5859969879315616,0.024108047,1.0927131,9.8260355,0.019578934,19.199478,7.876339,"VARIABLE",0,true,true,true,true,false,true,true,11245.781,4.1416,-0.2029,638.2429,0.2568,0.2489,0.1328
3326737051640013952,100.39421233942521,9.86051572799353,1.4131730067334929,0.033118743,-1.4093951893896348,0.028579406,-3.792858887042432,0.025788678,1.4457955,9.90083,0.18675232,28.436726,3.2188408,"VARIABLE",0,false,false,false,true,false,true,true,8529.568,3.7195,-0.5889,694.7733,0.1758,0.1653,0.0881
3326737429597133440,100.45061431635975,9.837766324887468,0.6704791151854606,0.016494049,-2.5132837128353853,0.017438969,-3.9727550503142375,0.014645568,1.2275125,13.217859,2.1667976,57.805874,1.6231786,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,5845.5347,2.8486,-0.0713,1631.1195,3.4612,2.6003,1.4248
3326737601395818368,100.48417996806263,9.872739726964129,0.21856837782155158,0.025907436,-0.32027343754408866,0.027901832,-0.8537536952617543,0.023403645,0.9711015,14.776055,2.0341806,39.64107,6.283363,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6093.851,3.0504,-0.1632,2880.345,3.2034,2.4413,1.3353
3326738181215003520,100.47920285013083,9.890526195271221,1.0129883423302322,0.014908975,1.1401591835802531,0.015463088,-5.838870423745319,0.013428045,0.9717025,13.315148,1.3814402,-20.602133,2.7466698,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6923.7607,3.7437,-0.28,998.3051,2.0856,1.7209,0.9386
3326738249933657600,100.46441895454966,9.895143736560245,1.3883530138708877,0.016144112,-1.6772857484215582,0.016441835,-3.482127826618051,0.013783497,1.0483502,13.443294,1.0325136,20.181871,5.196257,"VARIABLE",0,false,false,false,true,false,true,true,5336.9897,4.1855,-0.3651,661.0184,0.2449,0.1998,0.1073
3326738254230845440,100.47433842785577,9.900021990485227,0.9845516664959325,0.059034225,5.0048900466992485,0.058812324,-4.752588374416896,0.054551356,3.6783493,14.259144,1.4209852,32.50005,11.1083975,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6931.1387,4.1066,-0.5649,863.4607,2.1228,1.7448,0.9559
